"oblast","EDRPOU","NAME","KVED","church_EDRPOU","church_NAME","BOSS","church_BOSS","ADDRESS","church_ADDRESS","freq","FOUNDERS","KVED_freq","KVED_freq_inRegion","KVED_section"
"Автономна Республіка Крим","33196943","ПРИВАТНЕ ПІДПРИЄМСТВО СУПУТНИК-85","46.90 Неспеціалізована оптова торгівля",25626812,"ГРОМАДА ПРЕПОДОБНОГО ГРИГОРІЯ, ЗАТВОРНИКА ПЕЧЕРСЬКОГО СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ","ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ","99055; м.Севастополь- Ленінський район, ВУЛ.ГЕН.ЛЕБЕДЯ, будинок 20, квартира 80","97130; Автономна Республіка Крим- Нижньогірський район, село Новогригорівка, ВУЛИЦЯ МІЧУРІНА, будинок 48",3,"ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ, розмір внеску до статутного фонду - 500.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","33074776","ПРИВАТНЕ ПІДПРИЄМСТВО КОПИЛОВ","56.10 Діяльність ресторанів, надання послуг мобільного харчування",25633189,"ПАРАФІЯ (ГРОМАДА) РІЗДВА ХРИСТОВА СІМФЕРОПОЛЬСЬКОЇ І КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","КОПИЛОВ ОЛЕКСАНДР ЮРІЙОВИЧ","КОПИЛОВ ОЛЕКСАНДР ЮРІЙОВИЧ","99038; м.Севастополь- Гагарінський район, ВУЛИЦЯ ЮМАШЕВА, будинок 19, корпус Г, квартира 19","98464; Автономна Республіка Крим- Бахчисарайський район, село Красний Мак, ВУЛИЦЯ ЛЕНІНА, будинок 32",2,"КОПИЛОВ ОЛЕКСАНДР ЮРІЙОВИЧ, розмір внеску до статутного фонду - 100.00 грн.",13,1,"Діяльність ресторанів, готелів"
"Автономна Республіка Крим","20751932","ПРИВАТНЕ ПІДПРИЄМСТВО ЛІНКОР","46.73 Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",37963628,"РЕЛІГІЙНА ОРГАНІЗАЦІЯ РЕЛІГІЙНА ГРОМАДА (ПАРАФІЯ) ВЕЛИКОМУЧЕНИЦІ ВАРВАРИ ДЖАНКОЙСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ""","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","98330; Автономна Республіка Крим- місто Керч, ВУЛИЦЯ БУДЬОНОГО, будинок 33, квартира 136","96115; Автономна Республіка Крим- Джанкойський район, село Овочеве, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 25",4,"ПОПОВ СЕРГІЙ ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 10.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","22233294","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ПІВДЕННА ФОНДОВА КОМПАНІЯ ПЕРСПЕКТИВА - РЦБ""","68.31 Агентства нерухомості",26014991,"РЕЛІГІЙНА ГРОМАДА В ІМ'Я СВЯТОГО СПОВІДАЛЬНИКА РОМАНА УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПІЧУЄВ МИКОЛА МИКОЛАЙОВИЧ","ПІЧУЄВ МИКОЛА МИКОЛАЙОВИЧ","99011; м.Севастополь- Ленінський район, ВУЛ. ОЧАКОВЦІВ, будинок 26, квартира 48","99041; м.Севастополь- Нахімовський район, ВУЛИЦЯ ГЕНЕРАЛА ЖИДІЛОВА, будинок 11, квартира 115",2,"УДАЛЬЦОВ СЕРГІЙ ГЕННАДІЙОВИЧ, розмір внеску до статутного фонду - 68.00 грн.||МОЛОДІЖНА МОРСЬКА ЛІГА УКРАЇНИ, розмір внеску до статутного фонду - 68.00 грн.||ВІННІЧУК ОЛЕКСАНДР КУПРИЯНОВИЧ, розмір внеску до статутного фонду - 68.00 грн.||ПІЧУЄВА ВАЛЕНТИНА МИХАЙЛІВНА, розмір внеску до статутного фонду - 68.00 грн.||ПРИВАТНЕ ПІДПРИЄМСТВО ""КРИМ-ЕКСПЕРТ"", розмір внеску до статутного фонду - 60.00 грн.||УТУСІКОВА ГАЛИНА ГЕННАДІЇВНА, розмір внеску до статутного фонду - 68.00 грн.",29,2,"Нерухомість"
"Автономна Республіка Крим","34946065","БЛАГОДІЙНА ОРГАНІЗАЦІЯ ФОНД СВЯТИТЕЛЯ ЛУКИ","85.32.5 БЛАГОДІЙНА ДІЯЛЬНІСТЬ",23193757,"ПЕТРО-ПАВЛІВСЬКА ОБЩИНА СІМФЕРОПОЛЬСЬКОЇ І КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ЯКУШЕЧКІН ОЛЕКСАНДР ВІТАЛІЙОВИЧ","ЯКУШЕЧКІН ОЛЕКСАНДР ВІТАЛІЙОВИЧ","95011; Автономна Республіка Крим- місто Сімферополь, Центральний район, ВУЛ. ГЕРОЇВ АДЖИМУШКАЯ, будинок 9/11","95011; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛИЦЯ ПРОЛЕТАРСЬКА, будинок 5",2,"численний СКЛАД ОРГАНІЗАЦІЇ СКЛАДАЄ ШІСТЬ ЧОЛОВІК (ПРОТОКОЛ 1 ВІД Р.), розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
"Автономна Республіка Крим","31592902","ПРИВАТНЕ ПІДПРИЄМСТВО ЯЛТИНСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА І-III СТУПЕНІВ ІМЕНІ СВЯТОГО ЦЕСАРЕВИЧА ОЛЕКСІЯ","85.20 Початкова освіта",23202798,"ПАРАФІЯ (ГРОМАДА) ОЛЕКСАНДРА НЕВСЬКОГО СОБОРУ СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ДМИТРЕНКО АДАМ МИХАЙЛОВИЧ","ДМИТРЕНКО АДАМ МИХАЙЛОВИЧ","98600; Автономна Республіка Крим- місто Ялта, ВУЛИЦЯ САДОВА, будинок 2","98600; Автономна Республіка Крим- місто Ялта, ВУЛИЦЯ САДОВА, будинок 2",2,"ДМИТРЕНКО АДАМ МИХАЙЛОВИЧ, розмір внеску до статутного фонду - 1000.00 грн.",19,1,"Освіта"
"Автономна Республіка Крим","32992350","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ НОМАРХ","80.10 Діяльність приватних охоронних служб",34671253,"ПРИХІД (ГРОМАДА) В ІМ'Я СВЯТОГО АПОСТОЛА АНДРІЯ ПЕРВОЗВАННОГО СІМФЕРОПОЛЬСЬКОЇ І КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ","КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ","95011; Автономна Республіка Крим- місто Сімферополь, Центральний район, ПРОСПЕКТ КІРОВА, будинок 1, офіс 601","97573; Автономна Республіка Крим- Сімферопольський район, село Фонтани, САДІВНИЧЕ ТОВАРИСТВО ВУЛИЦЯ 11, ДІЛ.137",3,"КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ, розмір внеску до статутного фонду - 20500.00 грн.",10,2,"Діяльність приватних охоронних служб, народні дружини, військомати"
"Автономна Республіка Крим","35284046","ПРИВАТНЕ ПІДПРИЄМСТВО АРЕЙОН","80.10 Діяльність приватних охоронних служб",34671253,"ПРИХІД (ГРОМАДА) В ІМ'Я СВЯТОГО АПОСТОЛА АНДРІЯ ПЕРВОЗВАННОГО СІМФЕРОПОЛЬСЬКОЇ І КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ","КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ","95011; Автономна Республіка Крим- місто Сімферополь, Центральний район, ПРОСПЕКТ КІРОВА, будинок 1, офіс 601","97573; Автономна Республіка Крим- Сімферопольський район, село Фонтани, САДІВНИЧЕ ТОВАРИСТВО ВУЛИЦЯ 11, ДІЛ.137",3,"КОНОВАЛОВ АНДРІЙ ВІКТОРОВИЧ, розмір внеску до статутного фонду - 500.00 грн.||КОНОВАЛОВА ІННА АНДРІЇВНА, розмір внеску до статутного фонду - 500.00 грн.",10,2,"Діяльність приватних охоронних служб, народні дружини, військомати"
"Автономна Республіка Крим","20751932","ПРИВАТНЕ ПІДПРИЄМСТВО ЛІНКОР","46.73 Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",37579489,"РЕЛІГІЙНА ГРОМАДА (ПАРАФІЯ) АПОСТОЛА АНДРІЯ ПЕРВОЗВАННОГО ДЖАНКОЙСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ""","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","98330; Автономна Республіка Крим- місто Керч, ВУЛИЦЯ БУДЬОНОГО, будинок 33, квартира 136","96126; Автономна Республіка Крим- Джанкойський район, село Завіт-Ленінський, ВУЛИЦЯ ШЕВЧЕНКО, будинок 22",4,"ПОПОВ СЕРГІЙ ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 10.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","25971710","ГРОМАДСЬКА ОРГАНІЗАЦІЯ СЕВАСТОПОЛЬСЬКИЙ МІСЬКИЙ ОСЕРЕДОК ОБ'ЄДНАННЯ ГРОМАДЯН НА ПІДТРИМКУ КАНОНІЧНОГО ПРАВОСЛАВ'Я ПУТЬ ПРАВОСЛАВНИХ В ІМ'Я СВЯТОГО РІВНОАПОСТОЛЬНОГО КНЯЗЯ ВОЛОДИМИРА","94.99 Діяльність інших громадських організацій, н. в. і. у.",37561618,"РЕЛІГІЙНА ОРГАНІЗАЦІЯ ОБЩИНА СЕМИ ХЕРСОНЕСЬКИХ МУЧЕНИКІВ КРИМСЬКОЇ ТА СІМФЕРОПОЛЬСЬКОЇ ЄПАРХІЇ УПЦ МОСКОВСЬКОЇ ПАТРІАРХІЇ""","ХАЛЮТА СЕРГІЙ МИХАЙЛОВИЧ","ХАЛЮТА СЕРГІЙ МИХАЙЛОВИЧ","99057; м.Севастополь- Гагарінський район, ВУЛ СТЕПАНЯНА, будинок 11, квартира 69","99045; м.Севастополь- Гагарінський район, ВУЛИЦЯ ДРЕВНЯ, будинок 1",4,"громадяни-фізичні особи згідно протоколу, розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
